problem_id,problem_family,variant_type,model,crystallization_layer,n_layers_processed,layer_cosine_similarities,target_rank_per_layer,target_logprob_per_layer,target_token_id,target_token_decoded
GSM_061_W6,arithmetic_reasoning,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9982, 0.9978, 0.998, 0.9978, 0.998, 0.9988, 0.9988, 0.9984, 0.9975, 0.9981, 0.998, 0.9979, 0.998, 0.998, 0.9986, 0.9984, 0.9981, 0.9982, 0.994, 0.9903, 0.989, 0.9774, 0.9679, 0.9616, 0.9568, 0.9646, 0.9679, 0.9557]","[151602, 151798, 151817, 151861, 151895, 151875, 151816, 151867, 151861, 151907, 151909, 151830, 151708, 151588, 151620, 151589, 151355, 151494, 151459, 151774, 151805, 151805, 151716, 151716, 151807, 151755, 151289, 56389]","[-12.5264, -13.113, -13.6253, -13.6545, -14.0642, -15.4316, -15.5134, -16.1191, -15.5397, -17.0756, -17.4192, -17.4199, -17.1772, -17.6985, -21.5175, -20.0722, -19.0924, -20.5276, -20.4213, -22.8003, -25.8923, -31.1488, -37.8432, -47.8094, -75.7856, -110.3013, -119.9429, -63.1938]",21,6
GSM_062_W6,arithmetic_reasoning,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9996, 0.9991, 0.9979, 0.9905, 0.9864, 0.9846, 0.9868, 0.9899, 0.9922, 0.9832]","[151593, 151802, 151801, 151856, 151894, 151867, 151791, 151855, 151825, 151872, 151857, 151774, 151657, 151626, 151631, 151585, 151485, 151577, 151434, 151814, 151843, 151887, 151601, 151791, 151821, 151700, 151572, 18553]","[-12.509, -13.1445, -13.5909, -13.5942, -14.0773, -15.4819, -15.3645, -16.1153, -15.485, -17.0149, -17.511, -17.0973, -17.2754, -18.2188, -21.6438, -20.2773, -19.7544, -20.9796, -20.6626, -21.9568, -23.2371, -29.7638, -32.9008, -56.7973, -84.0727, -109.8743, -137.8524, -31.3391]",21,6
GSM_063_W6,arithmetic_reasoning,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9984, 0.9977, 0.9982, 0.9983, 0.9987, 0.9991, 0.9991, 0.9989, 0.9987, 0.9988, 0.9988, 0.9987, 0.999, 0.9991, 0.9994, 0.9993, 0.999, 0.9991, 0.9972, 0.9931, 0.9871, 0.9677, 0.9279, 0.8131, 0.8249, 0.829, 0.8376, 0.7464]","[152001, 152032, 152028, 152041, 152039, 152036, 152025, 152034, 152026, 152026, 152024, 152009, 151994, 152004, 152019, 152018, 152015, 152013, 152005, 152018, 152033, 152031, 152023, 152040, 152046, 152027, 151999, 57346]","[-12.7352, -13.63, -14.193, -14.1385, -14.7306, -16.4879, -16.4327, -17.2428, -16.4346, -18.0069, -18.4708, -18.2012, -18.4139, -19.4774, -24.1806, -22.5527, -21.8123, -23.6337, -23.4829, -25.5939, -26.6898, -35.9608, -41.2731, -67.3066, -106.586, -146.1158, -162.7638, -58.091]",17,2
GSM_064_W6,arithmetic_reasoning,W6,Qwen/Qwen2.5-7B-Instruct,27,28,"[0.9997, 0.9996, 0.9995, 0.9993, 0.999, 0.9992, 0.9992, 0.9986, 0.9981, 0.998, 0.9977, 0.9977, 0.9981, 0.9981, 0.9983, 0.9979, 0.9975, 0.9979, 0.9938, 0.9865, 0.9805, 0.9139, 0.8805, 0.8692, 0.8822, 0.8984, 0.9054, 0.8247]","[151072, 151726, 151793, 151781, 151790, 151785, 151724, 151818, 151814, 151800, 151772, 151748, 151555, 151262, 151511, 151283, 151621, 151573, 151526, 151870, 151920, 151771, 151774, 151733, 151750, 151664, 151089, 4]","[-12.4712, -13.0888, -13.5784, -13.5306, -13.9621, -15.1625, -15.3253, -16.0475, -15.5003, -16.5641, -16.9623, -16.9995, -16.9548, -17.5578, -21.1236, -19.4326, -20.2913, -21.2067, -20.1219, -23.4814, -25.8865, -32.958, -42.1869, -60.9641, -83.9264, -128.6318, -131.082, -8.0337]",22,7
CC_031_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9999, 0.9999, 0.9998, 0.9997, 0.9997, 0.9997, 0.9997, 0.9998, 0.9996, 0.9996, 0.9995, 0.9992, 0.9987, 0.9966, 0.9957, 0.9957, 0.996, 0.9965, 0.9971, 0.998, 0.9981, 0.9982, 0.9951]","[151804, 151915, 151893, 151943, 151945, 151904, 151862, 151917, 151947, 151991, 151974, 151892, 151885, 151901, 151942, 151928, 151949, 151949, 151877, 151893, 151886, 151929, 151983, 151962, 151973, 151980, 151961, 100925]","[-12.5493, -13.0949, -13.6895, -13.79, -14.0414, -15.3067, -15.4431, -16.1161, -15.5677, -17.2353, -17.6523, -17.1114, -17.3812, -19.2801, -22.9292, -20.2864, -20.802, -22.3881, -22.842, -24.9791, -27.8349, -41.5329, -55.0982, -78.4482, -114.0587, -148.2864, -187.3494, -54.4831]",19,4
CC_032_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[1.0, 1.0, 1.0, 0.9999, 0.9999, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9998, 0.9997, 0.9997, 0.9994, 0.9987, 0.9951, 0.9939, 0.9936, 0.9942, 0.995, 0.9958, 0.9971, 0.9974, 0.9977, 0.9934]","[151531, 151763, 151789, 151845, 151892, 151865, 151811, 151888, 151907, 151937, 151943, 151832, 151813, 151859, 151841, 151827, 151865, 151851, 151853, 151844, 151856, 151895, 151950, 151932, 151940, 151935, 151915, 133821]","[-12.491, -12.9776, -13.5389, -13.6296, -13.9407, -15.2012, -15.3043, -15.9982, -15.429, -17.0159, -17.5054, -16.9024, -17.1052, -19.1798, -22.006, -19.6066, -20.1569, -21.4854, -22.5037, -24.3631, -27.1146, -40.2081, -53.3515, -76.0599, -111.3818, -144.0724, -182.4942, -56.2781]",21,6
CC_033_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9995, 0.9979, 0.989, 0.9868, 0.9857, 0.9877, 0.9899, 0.9921, 0.9944, 0.9952, 0.9963, 0.992]","[152030, 152043, 152045, 152048, 152044, 152043, 152036, 152040, 152036, 152044, 152041, 152031, 152025, 152036, 152040, 152032, 152045, 152045, 152033, 152037, 152038, 152047, 152050, 152052, 152053, 152052, 152051, 114916]","[-12.7506, -13.482, -14.3056, -14.3901, -14.6625, -16.409, -16.4985, -17.2035, -16.3889, -18.296, -18.8057, -18.398, -18.6663, -21.1382, -25.1533, -22.0136, -22.7571, -24.5592, -25.4276, -27.6754, -31.2913, -46.9567, -60.3838, -87.946, -127.6609, -165.1074, -209.9202, -55.7381]",16,1
CC_034_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9999, 0.9998, 0.9998, 0.9998, 0.9994, 0.9988, 0.9954, 0.9939, 0.993, 0.9923, 0.9938, 0.9948, 0.9961, 0.9965, 0.9973, 0.9935]","[151906, 151983, 151986, 151987, 151975, 151994, 151959, 151995, 151989, 152012, 152011, 151959, 151953, 151971, 151987, 151959, 151981, 151963, 151963, 151941, 151947, 151999, 152021, 152012, 152013, 152019, 152015, 112503]","[-12.5973, -13.2352, -13.91, -13.9444, -14.1726, -15.7213, -15.7836, -16.5452, -15.8398, -17.5819, -18.0505, -17.5027, -17.7946, -19.9344, -23.2691, -20.4234, -21.0364, -22.441, -23.48, -25.4157, -28.5795, -42.5163, -56.9573, -80.4628, -116.2111, -151.8828, -192.1887, -55.4167]",18,3
CC_035_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9999, 0.9999, 0.9998, 0.9998, 0.9997, 0.9997, 0.9997, 0.9998, 0.9996, 0.9995, 0.9994, 0.9991, 0.9984, 0.9967, 0.9967, 0.9968, 0.9975, 0.9977, 0.9979, 0.9986, 0.9986, 0.9987, 0.9966]","[151557, 151786, 151804, 151821, 151811, 151815, 151709, 151823, 151790, 151902, 151874, 151764, 151749, 151811, 151790, 151811, 151886, 151859, 151843, 151855, 151899, 151888, 151917, 151880, 151887, 151889, 151872, 109161]","[-12.4916, -12.9838, -13.5556, -13.5967, -13.8025, -15.0776, -15.1137, -15.7819, -15.1514, -16.8048, -17.1096, -16.6352, -16.8589, -18.7821, -21.814, -19.6326, -20.3621, -21.8045, -22.5596, -24.5906, -27.8919, -40.7045, -53.1882, -75.0842, -109.8067, -141.288, -178.7764, -54.782]",23,8
CC_036_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[1.0, 1.0, 1.0, 0.9999, 0.9999, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9997, 0.9997, 0.9995, 0.9991, 0.997, 0.9967, 0.9968, 0.9973, 0.9975, 0.9979, 0.9985, 0.9986, 0.9988, 0.9966]","[150676, 151648, 151774, 151777, 151756, 151778, 151691, 151833, 151852, 151883, 151859, 151735, 151720, 151750, 151740, 151656, 151787, 151797, 151735, 151811, 151764, 151854, 151906, 151864, 151875, 151876, 151869, 126043]","[-12.4178, -12.9131, -13.5241, -13.5507, -13.7426, -14.9913, -15.0942, -15.8145, -15.2795, -16.7119, -17.0532, -16.596, -16.8136, -18.6233, -21.5725, -19.2062, -19.8122, -21.3246, -21.9413, -24.1946, -26.6247, -39.8474, -52.546, -74.0025, -108.3235, -139.4419, -178.0229, -55.2272]",22,7
CC_037_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9999, 0.9999, 0.9999, 0.9998, 0.9997, 0.9998, 0.9998, 0.9997, 0.9995, 0.9993, 0.9992, 0.9991, 0.9992, 0.9993, 0.9993, 0.9993, 0.9988, 0.998, 0.994, 0.9919, 0.9909, 0.9907, 0.9922, 0.9933, 0.9952, 0.9957, 0.9965, 0.9917]","[152031, 152043, 152045, 152048, 152045, 152043, 152036, 152040, 152036, 152044, 152041, 152031, 152023, 152037, 152040, 152032, 152045, 152044, 152030, 152035, 152037, 152047, 152050, 152050, 152051, 152051, 152050, 89352]","[-12.7603, -13.4899, -14.3118, -14.3949, -14.6755, -16.4181, -16.463, -17.2109, -16.406, -18.3447, -18.9047, -18.4556, -18.7186, -21.4102, -24.972, -21.8477, -22.5663, -24.1348, -24.7973, -27.3638, -31.3552, -46.7773, -60.5831, -86.073, -125.7505, -164.5216, -210.2017, -52.8813]",16,1
CC_038_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9999, 0.9999, 1.0, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9996, 0.9996, 0.9995, 0.999, 0.9985, 0.9959, 0.9954, 0.9951, 0.9958, 0.996, 0.9963, 0.9975, 0.9978, 0.9981, 0.9954]","[151523, 151761, 151794, 151844, 151889, 151862, 151811, 151886, 151900, 151939, 151944, 151831, 151812, 151859, 151836, 151824, 151863, 151859, 151861, 151847, 151866, 151907, 151946, 151910, 151922, 151906, 151896, 108987]","[-12.4865, -12.9702, -13.5382, -13.6281, -13.9283, -15.2001, -15.3245, -15.9984, -15.4109, -16.9808, -17.4634, -16.858, -17.0622, -19.043, -22.1589, -19.7124, -20.2023, -21.7426, -22.7293, -24.5053, -27.7317, -41.1487, -53.6976, -76.2984, -111.7525, -143.7221, -181.3052, -54.5099]",21,6
CC_039_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9996, 0.9983, 0.9981, 0.9981, 0.9982, 0.9983, 0.9986, 0.999, 0.9991, 0.9993, 0.9985]","[152030, 152043, 152044, 152048, 152044, 152043, 152036, 152040, 152036, 152044, 152040, 152031, 152022, 152035, 152040, 152032, 152045, 152045, 152032, 152036, 152039, 152047, 152051, 152050, 152051, 152052, 152050, 78977]","[-12.7587, -13.4924, -14.3153, -14.4023, -14.6708, -16.4131, -16.4948, -17.2181, -16.4074, -18.3305, -18.8461, -18.347, -18.6684, -21.2726, -24.9891, -21.9356, -22.6678, -24.3973, -25.0969, -27.5751, -31.1916, -46.6675, -60.688, -86.5706, -126.2667, -164.8398, -208.7052, -53.268]",16,1
CC_040_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9998, 0.9996, 0.9984, 0.9979, 0.9969, 0.9969, 0.9972, 0.9968, 0.9975, 0.9975, 0.9981, 0.9951]","[150686, 151649, 151774, 151777, 151756, 151778, 151691, 151831, 151849, 151883, 151856, 151736, 151718, 151748, 151737, 151650, 151790, 151796, 151702, 151798, 151796, 151865, 151904, 151860, 151872, 151877, 151880, 134189]","[-12.4186, -12.9124, -13.5232, -13.5463, -13.7394, -14.9949, -15.0926, -15.8076, -15.2715, -16.7126, -17.0617, -16.5996, -16.8095, -18.5959, -21.5591, -19.1699, -19.8157, -21.3451, -21.8099, -23.9084, -26.4616, -39.321, -52.3702, -73.6738, -106.6534, -138.8672, -178.3293, -56.4423]",22,7
CC_041_W6,algorithmic,W6,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9999, 0.9999, 1.0, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9998, 0.9998, 0.9997, 0.9998, 0.9997, 0.9996, 0.999, 0.9952, 0.9922, 0.9917, 0.9932, 0.9944, 0.9949, 0.9964, 0.9969, 0.9977, 0.9951]","[152031, 152043, 152045, 152048, 152044, 152043, 152036, 152040, 152036, 152044, 152040, 152031, 152025, 152036, 152040, 152032, 152045, 152046, 152031, 152035, 152037, 152047, 152050, 152051, 152053, 152052, 152051, 100144]","[-12.7536, -13.4874, -14.3136, -14.3964, -14.662, -16.413, -16.4942, -17.2126, -16.4, -18.3035, -18.8117, -18.3713, -18.6863, -21.2057, -25.1009, -22.0168, -22.7147, -24.5254, -24.8601, -27.2425, -30.9877, -46.1255, -60.3719, -86.9607, -126.0701, -164.9971, -209.2829, -55.1664]",16,1
