model,subtype,metric_name,metric_value,ci_lower,ci_upper
meta-llama/llama-3.1-8b-instruct,shortest_path,SC,0.9166666666666666,0.75,1.0
meta-llama/llama-3.1-8b-instruct,shortest_path,RDI_standard,0.1,0.0,0.2
meta-llama/llama-3.1-8b-instruct,shortest_path,RDI_adversarial,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,ADC_standard,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,ADC_adversarial,1.0,1.0,1.0
meta-llama/llama-3.1-8b-instruct,wis,CPP,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,CCI_algorithm,1.0,1.0,1.0
meta-llama/llama-3.1-8b-instruct,wis,CCI_first_decision,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,CCI_critical,0.5,0.0,1.0
meta-llama/llama-3.1-8b-instruct,wis,CCI_composite,0.5,0.3333333333333333,0.6666666666666666
meta-llama/llama-3.1-8b-instruct,wis,TEP_refined,,,
meta-llama/llama-3.1-8b-instruct,wis,FDI_step0,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,FDI_later_stability,,,
meta-llama/llama-3.1-8b-instruct,wis,SC,0.3333333333333333,0.3333333333333333,0.3333333333333333
meta-llama/llama-3.1-8b-instruct,wis,RDI_standard,0.05555555555555555,0.0,0.16666666666666666
meta-llama/llama-3.1-8b-instruct,wis,RDI_adversarial,0.14285714285714285,0.14285714285714285,0.14285714285714285
meta-llama/llama-3.1-8b-instruct,all,RTDA_standard_local_greedy,0.20689655172413793,0.06896551724137931,0.3793103448275862
meta-llama/llama-3.1-8b-instruct,all,RTDA_standard_forward_simulation,0.06896551724137931,0.0,0.1724137931034483
meta-llama/llama-3.1-8b-instruct,all,RTDA_standard_algorithm_invocation,0.034482758620689655,0.0,0.10344827586206896
meta-llama/llama-3.1-8b-instruct,all,RTDA_standard_unclear,0.6896551724137931,0.5172413793103449,0.8620689655172413
meta-llama/llama-3.1-8b-instruct,all,RTDA_adversarial_local_greedy,0.29310344827586204,0.1724137931034483,0.41379310344827586
meta-llama/llama-3.1-8b-instruct,all,RTDA_adversarial_forward_simulation,0.034482758620689655,0.0,0.08620689655172414
meta-llama/llama-3.1-8b-instruct,all,RTDA_adversarial_algorithm_invocation,0.017241379310344827,0.0,0.05172413793103448
meta-llama/llama-3.1-8b-instruct,all,RTDA_adversarial_unclear,0.6551724137931034,0.5344827586206896,0.7758620689655172
openai/gpt-4o,coin_change,ADC_standard,,,
openai/gpt-4o,coin_change,ADC_adversarial,1.0,1.0,1.0
openai/gpt-4o,coin_change,CPP,0.0,0.0,0.0
openai/gpt-4o,coin_change,CCI_algorithm,0.4,0.1,0.7
openai/gpt-4o,coin_change,CCI_first_decision,0.2,0.0,0.5
openai/gpt-4o,coin_change,CCI_critical,0.5,0.2,0.8
openai/gpt-4o,coin_change,CCI_composite,0.36666666666666664,0.2333333333333333,0.5
openai/gpt-4o,coin_change,TEP_refined,0.0,0.0,0.0
openai/gpt-4o,coin_change,FDI_step0,0.2,0.0,0.5
openai/gpt-4o,coin_change,FDI_later_stability,1.0,1.0,1.0
openai/gpt-4o,coin_change,SC,1.0,1.0,1.0
openai/gpt-4o,coin_change,RDI_standard,,,
openai/gpt-4o,coin_change,RDI_adversarial,0.08428571428571427,0.0,0.19
openai/gpt-4o,shortest_path,ADC_standard,0.0,0.0,0.0
openai/gpt-4o,shortest_path,ADC_adversarial,1.0,1.0,1.0
openai/gpt-4o,shortest_path,CPP,0.0,0.0,0.0
openai/gpt-4o,shortest_path,CCI_algorithm,0.0,0.0,0.0
openai/gpt-4o,shortest_path,CCI_first_decision,0.3333333333333333,0.0,1.0
openai/gpt-4o,shortest_path,CCI_critical,0.0,0.0,0.0
