model,n,accuracy,CCI_mean_all,CCI_median,CCI_mean_valid,n_valid_CCI,TEP_mean,contam_CCI_r,contam_CCI_p,contam_Correct_r,contam_Correct_p,CCI_Correct_r,CCI_Correct_p
claude,44,0.8636,0.2311,0.2164,0.2421,42,0.539,0.3124,0.044,-0.1135,0.4631,0.0144,0.9277
gpt4o,44,0.7045,0.1083,0.0,0.1765,27,0.5985,-0.0172,0.9323,0.0507,0.7437,0.1655,0.4093
llama,44,0.4545,0.1672,0.0,0.2374,31,0.7727,-0.1382,0.4583,0.1192,0.4408,0.0234,0.9007
gemini,44,0.8864,0.2697,0.25,0.2894,41,0.6515,-0.117,0.4664,0.0384,0.8045,0.2036,0.2017
