family,outcome,design,variants_included,G_item_over_variant_model,G_item_vs_surface_noise,phi_item_absolute,prop_item,prop_variant,prop_model,prop_item_model,prop_variant_model,prop_item_variant,prop_residual,ratio_item_model_over_item,ratio_variant_model_over_variant,n_items,n_variants,n_models,hypothesis_item_model_gt_item,hypothesis_variant_model_gt_variant,is_primary
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,0.4148,0.0534,0.0182,0.0182,0.1264,0.3271,0.0177,0.1623,0.0338,0.3145,0.9695,1.2842,29,7,3,False,True,True
ALGO,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,0.3806,0.0351,0.0137,0.0137,0.2124,0.2366,0.0204,0.1321,0.0318,0.353,1.494,0.6222,14,7,4,True,False,False
BW,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,0.8503,0.6377,0.2818,0.2818,0.0008,0.074,0.0275,0.0689,0.0904,0.4568,0.0974,89.9028,93,6,3,False,True,False
BW,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,0.1247,0.0109,0.0024,0.0024,0.0725,0.3825,0.0,0.1058,0.0366,0.4002,0.0,1.4581,47,7,5,False,True,True
GSM,binary_accuracy,max_cells,W1|W2|W3|W4|W5|canonical,0.3748,0.2604,0.0692,0.0692,0.0358,0.026,0.1887,0.0191,0.1416,0.5197,2.7283,0.5338,44,6,3,True,False,False
GSM,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,0.6798,0.4208,0.1858,0.1858,0.0631,0.0085,0.1212,0.0057,0.187,0.4286,0.6524,0.0907,24,7,3,False,False,True
