analysis,scope,statistic,ci_low,ci_high,p_clustered,n,n_clusters,clustering_variable,note
pointbiserial_tep_w3_correct,GSM_all_with_tep,-0.1107,-0.2922,0.0598,0.202,128,44,problem_id,CI+p from same cluster bootstrap; CI primary
pointbiserial_tep_w3_correct,GSM_canonical_correct,-0.1521,-0.3314,0.0207,0.0852,110,42,problem_id,CI+p from same cluster bootstrap; CI primary
pointbiserial_tep_w3_correct,ALGO_all_with_tep,-0.1506,-0.2961,0.0152,0.0664,276,14,clone_family,CI+p from same cluster bootstrap; CI primary
pointbiserial_tep_w3_correct,ALGO_canonical_correct,0.042,-0.0769,0.1978,0.446,152,14,clone_family,CI+p from same cluster bootstrap; CI primary
pointbiserial_tep_w3_correct,GSM_ALGO_pooled_all_with_tep,-0.1101,-0.2292,0.0403,0.128,404,58,family:cluster,CI+p from same cluster bootstrap; CI primary
pointbiserial_tep_w3_correct,GSM_ALGO_pooled_canonical_correct,-0.1218,-0.251,0.0267,0.1028,262,56,family:cluster,CI+p from same cluster bootstrap; CI primary
