family,model,subtype,n_sessions,n_tep_valid,mean_tep,final_ok_rate,mean_cci,pct_dissociated_high_tep_correct,pct_high_tep,tep_final_spearman
ALGO,Claude,coin_change,10,10,0.2,0.2,,0.1,0.2,0.37499999999999994
ALGO,Claude,shortest_path,34,34,0.14705882352941177,0.5588235294117647,,0.08823529411764706,0.20588235294117646,-0.14126691923120543
ALGO,Claude,wis,17,14,0.14285714285714285,0.7058823529411765,,0.058823529411764705,0.14285714285714285,-0.2842676218074806
ALGO,GPT-4o,coin_change,10,10,0.33333333333333337,0.5,,0.2,0.3,0.07968190728895957
ALGO,GPT-4o,shortest_path,34,34,0.24509803921568624,0.4117647058823529,,0.14705882352941177,0.35294117647058826,-0.05274141010624161
ALGO,GPT-4o,wis,17,17,0.13529411764705881,0.8823529411764706,,0.058823529411764705,0.17647058823529413,-0.7844283225171873
ALGO,Gemini,coin_change,10,10,0.16666666666666666,0.0,,0.0,0.2,
ALGO,Gemini,shortest_path,34,34,0.1323529411764706,0.11764705882352941,,0.0,0.17647058823529413,-0.1682374814245845
ALGO,Gemini,wis,17,17,0.29411764705882354,0.8823529411764706,,0.17647058823529413,0.29411764705882354,-0.5656854249492381
ALGO,Llama,coin_change,10,10,0.7,0.2,,0.1,0.7,-0.2182178902359924
ALGO,Llama,shortest_path,34,34,0.534313725490196,0.08823529411764706,,0.029411764705882353,0.6176470588235294,-0.14579954642126
ALGO,Llama,wis,17,17,0.6352941176470589,0.5294117647058824,,0.23529411764705882,0.6470588235294118,-0.3737804845753061
ALGO,o4-mini,coin_change,10,10,0.36666666666666664,1.0,,0.4,0.4,
ALGO,o4-mini,shortest_path,34,34,0.3088235294117647,0.058823529411764705,,0.029411764705882353,0.5,0.0915583775955893
ALGO,o4-mini,wis,17,17,0.4019607843137255,0.8823529411764706,,0.29411764705882354,0.4117647058823529,-0.3216990204216664
BW,Claude,(all),177,47,0.06382978723404255,0.0,,0.0,0.06382978723404255,
BW,GPT-4o,(all),180,13,0.0,0.0,,0.0,0.0,
BW,Llama,(all),179,8,0.625,0.0,,0.0,0.625,
GSM,Claude,(all),44,44,0.5390159090909091,0.8636363636363636,0.23105909090909088,0.5227272727272727,0.6136363636363636,-0.09558619460332683
GSM,GPT-4o,(all),44,44,0.5984863636363635,0.7045454545454546,0.10833409090909091,0.5681818181818182,0.6818181818181818,0.37364918503251765
GSM,Gemini,(all),44,44,0.6515136363636364,0.8863636363636364,0.2696977272727273,0.6590909090909091,0.75,-0.07098682698139443
GSM,Llama,(all),44,44,0.7727272727272727,0.45454545454545453,0.16723181818181818,0.4090909090909091,0.7954545454545454,0.260655402913854
GSM,o4-mini,(all),44,44,0.6367136363636363,0.9545454545454546,0.21520227272727271,0.6363636363636364,0.6818181818181818,-0.23226956062265122
