family,model,variant,n,keep,drop,rescue,fail_both,drop_rate_given_canonical_correct,rescue_rate_given_canonical_wrong
GSM,Llama,W4,44,6,10,0,28,0.625,0.0
GSM,Llama,W5,44,1,15,0,28,0.9375,0.0
GSM,Llama,W6,24,0,0,0,24,,0.0
GSM,GPT-4o,W1,44,14,3,1,26,0.17647058823529413,0.037037037037037035
GSM,GPT-4o,W2,44,6,11,0,27,0.6470588235294118,0.0
GSM,GPT-4o,W3,44,5,12,1,26,0.7058823529411765,0.037037037037037035
GSM,GPT-4o,W4,44,4,13,0,27,0.7647058823529411,0.0
GSM,GPT-4o,W5,44,6,11,0,27,0.6470588235294118,0.0
GSM,GPT-4o,W6,24,0,0,0,24,,0.0
GSM,o4-mini,W1,44,35,2,3,4,0.05405405405405406,0.42857142857142855
GSM,o4-mini,W2,44,35,2,1,6,0.05405405405405406,0.14285714285714285
GSM,o4-mini,W3,44,35,2,2,5,0.05405405405405406,0.2857142857142857
GSM,o4-mini,W4,44,29,8,1,6,0.21621621621621623,0.14285714285714285
GSM,o4-mini,W5,44,34,3,5,2,0.08108108108108109,0.7142857142857143
GSM,o4-mini,W6,24,17,1,3,3,0.05555555555555555,0.5
