family,probe,model,observed_canonical_n,bank_canonical_n,missing_canonical_n,coverage_label,missing_canonical_ids,extra_canonical_ids,run_type,priority
GSM,P1,GPT-4o,20,44,24,partial,"GSM_041,GSM_042,GSM_043,GSM_044,GSM_045,GSM_046,GSM_047,GSM_048,GSM_049,GSM_050,GSM_051,GSM_052,GSM_053,GSM_054,GSM_055,GSM_056,GSM_057,GSM_058,GSM_059,GSM_060,GSM_061,GSM_062,GSM_063,GSM_064",,partial_p1_rerun,P1
GSM,P1,Llama,20,44,24,partial,"GSM_041,GSM_042,GSM_043,GSM_044,GSM_045,GSM_046,GSM_047,GSM_048,GSM_049,GSM_050,GSM_051,GSM_052,GSM_053,GSM_054,GSM_055,GSM_056,GSM_057,GSM_058,GSM_059,GSM_060,GSM_061,GSM_062,GSM_063,GSM_064",,partial_p1_rerun,P1
ALGO,P2A_elicited,Claude,61,110,49,partial,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,partial_probe_run,P1
ALGO,P2A_elicited,Gemini,61,110,49,partial,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,partial_probe_run,P1
ALGO,P2A_elicited,Llama,61,110,49,partial,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,partial_probe_run,P1
