family,model,n,n_clusters,tep_mean,ci_low,ci_high,tep_median,bootstrap,n_boot,seed,source,level,model_full,problem_id,tep,cci,inject_at_step,cluster_id
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_053,1.0,0.0,2,GSM_053
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_054,1.0,0.0,1,GSM_054
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_055,1.0,0.0,1,GSM_055
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_056,1.0,0.0,1,GSM_056
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_057,1.0,0.0,1,GSM_057
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_058,0.0,0.0,1,GSM_058
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_059,1.0,0.0,1,GSM_059
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_060,0.0,0.0,1,GSM_060
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_061,0.6667,0.4,2,GSM_061
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_062,0.0,0.0,1,GSM_062
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_063,0.0,0.0,2,GSM_063
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_064,0.5,0.0,1,GSM_064
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_001,0.0,0.0,1,GSM_001
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_002,1.0,0.0,1,GSM_002
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_003,1.0,0.2,2,GSM_003
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_004,1.0,0.5,1,GSM_004
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_005,1.0,0.1667,3,GSM_005
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_006,1.0,0.25,2,GSM_006
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_007,0.0,0.0,1,GSM_007
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_008,1.0,0.0,1,GSM_008
