family,item_a,item_b,model_solves_a,model_solves_b,orientation,rate_solves_a_on_a,rate_solves_a_on_b,rate_solves_b_on_a,rate_solves_b_on_b,n_solves_a_on_a,n_solves_a_on_b,n_solves_b_on_a,n_solves_b_on_b,leg_a_beyond_noise,leg_b_beyond_noise,leg_a_p_one_sided,leg_b_p_one_sided,leg_a_obs_diff,leg_b_obs_diff,leg_a_noise_q95,leg_b_noise_q95,reliable,tau_hi,tau_lo,min_n_variants
BW,BW_510,BW_E015,deepseek/deepseek-r1-distill-llama-70b,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.8333,0.3333,0.2857,0.8333,6,6,7,6,False,True,0.0699,0.0325,0.5,0.5476,0.5,0.4286,False,0.6667,0.3333,4
BW,BW_515,BW_E015,deepseek/deepseek-r1-distill-llama-70b,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.6667,0.3333,0.2857,0.8333,6,6,7,6,False,True,0.1938,0.0325,0.3333,0.5476,0.5,0.4286,False,0.6667,0.3333,4
BW,BW_515,BW_E100,google/gemini-2.5-flash,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.7143,0.1429,0.2857,0.7143,7,7,7,7,True,False,0.0274,0.0898,0.5714,0.4286,0.4286,0.4286,False,0.6667,0.3333,4
BW,BW_E015,BW_E_001,anthropic/claude-sonnet-4,deepseek/deepseek-r1-distill-llama-70b,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.2857,0.3333,0.6667,6,7,6,6,True,False,0.0325,0.1938,0.5476,0.3333,0.4286,0.5,False,0.6667,0.3333,4
BW,BW_E015,BW_E_004,anthropic/claude-sonnet-4,deepseek/deepseek-r1-distill-llama-70b,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.2857,0.3333,0.6667,6,7,6,6,True,False,0.0325,0.1938,0.5476,0.3333,0.4286,0.5,False,0.6667,0.3333,4
BW,BW_E015,BW_E_005,anthropic/claude-sonnet-4,deepseek/deepseek-r1-distill-llama-70b,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.2857,0.3333,0.8333,6,7,6,6,True,False,0.0325,0.0699,0.5476,0.5,0.4286,0.5,False,0.6667,0.3333,4
GSM,GSM_001,GSM_004,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.3333,0.3333,1.0,6,6,6,6,False,True,0.0699,0.0139,0.5,0.6667,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_001,GSM_006,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.1667,0.3333,0.6667,6,6,6,6,True,False,0.0193,0.1938,0.6667,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_001,GSM_007,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.3333,0.3333,0.8333,6,6,6,6,False,False,0.0699,0.0699,0.5,0.5,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_001,GSM_014,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.3333,0.3333,0.6667,6,6,6,6,False,False,0.0699,0.1938,0.5,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_003,GSM_004,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.6667,0.3333,0.3333,1.0,6,6,6,6,False,True,0.1938,0.0139,0.3333,0.6667,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_003,GSM_006,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.6667,0.1667,0.3333,0.6667,6,6,6,6,False,False,0.0699,0.1938,0.5,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_003,GSM_007,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.6667,0.3333,0.3333,0.8333,6,6,6,6,False,False,0.1938,0.0699,0.3333,0.5,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_003,GSM_014,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,M1_solves_A_fails_B__M2_solves_B_fails_A,0.6667,0.3333,0.3333,0.6667,6,6,6,6,False,False,0.1938,0.1938,0.3333,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_004,GSM_009,anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,M1_solves_A_fails_B__M2_solves_B_fails_A,1.0,0.3333,0.3333,0.6667,6,6,6,6,True,False,0.0139,0.1938,0.6667,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_004,GSM_009,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.1667,0.3333,0.6667,6,6,6,6,True,False,0.0193,0.1938,0.6667,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_004,GSM_009,openai/gpt-4o,meta-llama/llama-3.1-8b-instruct,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.0,0.3333,0.6667,6,6,6,6,True,False,0.0002,0.1938,1.0,0.3333,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_005,GSM_009,anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,M1_solves_A_fails_B__M2_solves_B_fails_A,0.6667,0.3333,0.0,0.6667,6,6,6,6,False,True,0.1938,0.0139,0.3333,0.6667,0.5,0.5,False,0.6667,0.3333,4
GSM,GSM_006,GSM_009,anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,M1_solves_A_fails_B__M2_solves_B_fails_A,0.8333,0.3333,0.1667,0.6667,6,6,6,6,False,False,0.0699,0.0699,0.5,0.5,0.5,0.5,False,0.6667,0.3333,4
