cci_threshold,w3_cutoff,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n
0.85,1.0,75,15,0,284,141,440
0.85,1.0,90,0,0,284,156,440
0.9,0.0,50,0,0,62,378,440
0.9,0.0,75,0,1,86,353,440
0.9,0.0,90,0,1,78,361,440
0.9,0.25,50,74,0,62,304,440
0.9,0.25,75,15,1,300,124,440
0.9,0.25,90,0,1,292,147,440
0.9,0.5,50,74,0,62,304,440
0.9,0.5,75,15,1,300,124,440
0.9,0.5,90,0,1,292,147,440
0.9,0.75,50,74,0,62,304,440
0.9,0.75,75,15,1,300,124,440
0.9,0.75,90,0,1,292,147,440
0.9,1.0,50,74,0,4,362,440
0.9,1.0,75,15,0,284,141,440
0.9,1.0,90,0,0,284,156,440
