family,model,variant_a,variant_b,n_overlap,p_b,p_b_given_a,p_a_given_b,lift_b_given_a,agreement_rate,phi_corr
ALGO,Gemini,W2,W1,110,0.39090909090909093,0.7575757575757576,0.5813953488372093,0.36666666666666664,0.7636363636363637,0.4919308895222116
ALGO,Gemini,W2,W2,110,0.3,1.0,1.0,0.7,1.0,
ALGO,Gemini,W2,W3,110,0.2545454545454545,0.5757575757575758,0.6785714285714286,0.3212121212121213,0.7909090909090909,0.4827366541765271
ALGO,Gemini,W2,W4,110,0.43636363636363634,0.8484848484848485,0.5833333333333334,0.41212121212121217,0.7727272727272727,0.5440174088356288
ALGO,Gemini,W2,W5,50,0.02,0.0,0.0,-0.02,0.52,-0.131851172427271
ALGO,Gemini,W2,W6,90,0.14444444444444443,0.16,0.3076923076923077,0.015555555555555572,0.6666666666666666,0.027442541077410575
ALGO,Gemini,W3,canonical,110,0.4636363636363636,0.7857142857142857,0.43137254901960786,0.3220779220779221,0.6818181818181818,0.3774110716811937
ALGO,Gemini,W3,W1,110,0.39090909090909093,0.8214285714285714,0.5348837209302325,0.43051948051948047,0.7727272727272727,0.515567998939037
ALGO,Gemini,W3,W2,110,0.3,0.6785714285714286,0.5757575757575758,0.3785714285714286,0.7909090909090909,0.48273665417652706
ALGO,Gemini,W3,W3,110,0.2545454545454545,1.0,1.0,0.7454545454545455,1.0,
ALGO,Gemini,W3,W4,110,0.43636363636363634,0.8571428571428571,0.5,0.42077922077922075,0.7454545454545455,0.49579551778847725
ALGO,Gemini,W3,W5,50,0.02,0.047619047619047616,1.0,0.027619047619047616,0.6,0.16787704325514372
ALGO,Gemini,W3,W6,90,0.14444444444444443,0.2857142857142857,0.46153846153846156,0.14126984126984127,0.7555555555555555,0.2216971090380285
ALGO,Gemini,W4,canonical,110,0.4636363636363636,0.6666666666666666,0.6274509803921569,0.203030303030303,0.6818181818181818,0.3582343511266821
ALGO,Gemini,W4,W1,110,0.39090909090909093,0.7083333333333334,0.7906976744186046,0.31742424242424244,0.7909090909090909,0.5723819392464891
ALGO,Gemini,W4,W2,110,0.3,0.5833333333333334,0.8484848484848485,0.2833333333333334,0.7727272727272727,0.5440174088356288
ALGO,Gemini,W4,W3,110,0.2545454545454545,0.5,0.8571428571428571,0.24545454545454548,0.7454545454545455,0.4957955177884772
ALGO,Gemini,W4,W4,110,0.43636363636363634,1.0,1.0,0.5636363636363637,1.0,
ALGO,Gemini,W4,W5,50,0.02,0.027777777777777776,1.0,0.007777777777777776,0.3,0.08908708063747482
ALGO,Gemini,W4,W6,90,0.14444444444444443,0.175,0.5384615384615384,0.030555555555555558,0.5666666666666667,0.07774288420142421
ALGO,Gemini,W5,canonical,50,0.7,1.0,0.02857142857142857,0.30000000000000004,0.32,0.09352195295828249
ALGO,Gemini,W5,W1,50,0.62,0.0,0.0,-0.62,0.36,-0.18247610675957307
ALGO,Gemini,W5,W2,50,0.46,0.0,0.0,-0.46,0.52,-0.13185117242727104
ALGO,Gemini,W5,W3,50,0.42,1.0,0.047619047619047616,0.5800000000000001,0.6,0.16787704325514372
ALGO,Gemini,W5,W4,50,0.72,1.0,0.027777777777777776,0.28,0.3,0.08908708063747482
ALGO,Gemini,W5,W5,50,0.02,1.0,1.0,0.98,1.0,
ALGO,Gemini,W5,W6,50,0.18,0.0,0.0,-0.18,0.8,-0.06693161223797407
ALGO,Gemini,W6,canonical,90,0.5,0.6153846153846154,0.17777777777777778,0.11538461538461542,0.5333333333333333,0.09482093118615208
ALGO,Gemini,W6,W1,90,0.4,0.6153846153846154,0.2222222222222222,0.2153846153846154,0.6333333333333333,0.1806489209323784
ALGO,Gemini,W6,W2,90,0.2777777777777778,0.3076923076923077,0.16,0.02991452991452992,0.6666666666666666,0.027442541077410572
ALGO,Gemini,W6,W3,90,0.23333333333333334,0.46153846153846156,0.2857142857142857,0.22820512820512823,0.7555555555555555,0.2216971090380285
ALGO,Gemini,W6,W4,90,0.4444444444444444,0.5384615384615384,0.175,0.09401709401709402,0.5666666666666667,0.07774288420142421
ALGO,Gemini,W6,W5,50,0.02,0.0,0.0,-0.02,0.8,-0.06693161223797406
ALGO,Gemini,W6,W6,90,0.14444444444444443,1.0,1.0,0.8555555555555556,1.0,
ALGO,Llama,canonical,canonical,110,0.05454545454545454,1.0,1.0,0.9454545454545454,1.0,
ALGO,Llama,canonical,W1,110,0.08181818181818182,0.16666666666666666,0.1111111111111111,0.08484848484848484,0.8818181818181818,0.07435561851000576
ALGO,Llama,canonical,W2,110,0.05454545454545454,0.16666666666666666,0.16666666666666666,0.11212121212121212,0.9090909090909091,0.11858974358974297
ALGO,Llama,canonical,W3,110,0.01818181818181818,0.0,0.0,-0.01818181818181818,0.9272727272727272,-0.03268602252303066
ALGO,Llama,canonical,W4,110,0.07272727272727272,0.16666666666666666,0.125,0.09393939393939393,0.8909090909090909,0.08688690255785726
ALGO,Llama,canonical,W5,50,0.0,0.0,,0.0,0.96,
ALGO,Llama,canonical,W6,90,0.05555555555555555,0.3333333333333333,0.2,0.2777777777777778,0.9333333333333333,0.22518867455552324
ALGO,Llama,W1,canonical,110,0.05454545454545454,0.1111111111111111,0.16666666666666666,0.05656565656565656,0.8818181818181818,0.07435561851000576
ALGO,Llama,W1,W1,110,0.08181818181818182,1.0,1.0,0.9181818181818182,1.0,
ALGO,Llama,W1,W2,110,0.05454545454545454,0.0,0.0,-0.05454545454545454,0.8636363636363636,-0.07170006070607689
ALGO,Llama,W1,W3,110,0.01818181818181818,0.0,0.0,-0.01818181818181818,0.9,-0.040622223185119405
ALGO,Llama,W1,W4,110,0.07272727272727272,0.1111111111111111,0.125,0.03838383838383838,0.8636363636363636,0.044122140743410816
ALGO,Llama,W1,W5,50,0.0,0.0,,0.0,0.86,
ALGO,Llama,W1,W6,90,0.05555555555555555,0.125,0.2,0.06944444444444445,0.8777777777777778,0.09469425238482136
ALGO,Llama,W2,canonical,110,0.05454545454545454,0.16666666666666666,0.16666666666666666,0.11212121212121212,0.9090909090909091,0.11858974358974297
ALGO,Llama,W2,W1,110,0.08181818181818182,0.0,0.0,-0.08181818181818182,0.8636363636363636,-0.07170006070607689
ALGO,Llama,W2,W2,110,0.05454545454545454,1.0,1.0,0.9454545454545454,1.0,
ALGO,Llama,W2,W3,110,0.01818181818181818,0.0,0.0,-0.01818181818181818,0.9272727272727272,-0.0326860225230306
ALGO,Llama,W2,W4,110,0.07272727272727272,0.3333333333333333,0.25,0.2606060606060606,0.9090909090909091,0.2410410845153433
ALGO,Llama,W2,W5,50,0.0,0.0,,0.0,0.98,
ALGO,Llama,W2,W6,90,0.05555555555555555,0.0,0.0,-0.05555555555555555,0.9222222222222223,-0.0365636212063566
ALGO,Llama,W3,canonical,110,0.05454545454545454,0.0,0.0,-0.05454545454545454,0.9272727272727272,-0.032686022523030656
ALGO,Llama,W3,W1,110,0.08181818181818182,0.0,0.0,-0.08181818181818182,0.9,-0.040622223185119405
ALGO,Llama,W3,W2,110,0.05454545454545454,0.0,0.0,-0.05454545454545454,0.9272727272727272,-0.0326860225230306
ALGO,Llama,W3,W3,110,0.01818181818181818,1.0,1.0,0.9818181818181818,1.0,
