cci_threshold,w3_cutoff,w3_regime,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,label_vector_id
0.25,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,15,146,271,440,1455482896
0.25,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,17,152,271,440,3613668096
0.25,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,17,152,271,440,3613668096
0.25,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.25,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.25,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.3,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,15,154,271,440,2232114024
0.3,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,17,152,271,440,3613668096
0.3,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,17,152,271,440,3613668096
0.3,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,15,146,271,440,1455482896
0.3,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,17,152,271,440,3613668096
0.3,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,17,152,271,440,3613668096
0.3,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,15,146,271,440,1455482896
0.3,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,17,152,271,440,3613668096
0.3,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,17,152,271,440,3613668096
0.3,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,15,146,271,440,1455482896
0.3,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,17,152,271,440,3613668096
0.3,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,17,152,271,440,3613668096
0.3,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.3,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.3,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.35,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,4,165,271,440,115802625
0.35,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,5,164,271,440,3834894248
0.35,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,5,164,271,440,3834894248
0.35,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.35,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.35,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.35,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.35,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.35,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.35,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.35,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.35,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.35,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.35,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.35,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.4,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,4,165,271,440,115802625
0.4,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,5,164,271,440,3834894248
0.4,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,5,164,271,440,3834894248
0.4,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.4,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.4,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.4,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.4,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.4,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.4,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.4,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.4,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.4,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.4,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.4,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.45,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,4,165,271,440,115802625
0.45,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,5,164,271,440,3834894248
0.45,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,5,164,271,440,3834894248
0.45,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.45,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.45,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.45,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.45,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.45,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.45,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.45,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.45,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.45,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.45,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.45,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.5,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,4,165,271,440,115802625
0.5,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,5,164,271,440,3834894248
0.5,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,5,164,271,440,3834894248
0.5,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.5,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.5,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.5,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.5,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.5,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.5,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.5,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.5,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.5,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.5,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.5,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.55,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,4,165,271,440,115802625
0.55,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,5,164,271,440,3834894248
0.55,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,5,164,271,440,3834894248
0.55,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.55,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.55,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.55,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.55,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.55,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.55,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.55,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.55,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.55,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.55,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.55,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
0.6,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,4,165,271,440,115802625
0.6,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,5,164,271,440,3834894248
0.6,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,5,164,271,440,3834894248
0.6,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
0.6,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,5,164,271,440,3834894248
0.6,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,5,164,271,440,3834894248
0.6,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,4,157,271,440,1808986293
