cci_threshold,w3_cutoff,w3_regime,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,label_vector_id
0.9,0.0,cut=0 (retrieval impossible; computation iff W3=1),50,0,0,169,271,440,2814333097
0.9,0.0,cut=0 (retrieval impossible; computation iff W3=1),75,0,0,169,271,440,2814333097
0.9,0.0,cut=0 (retrieval impossible; computation iff W3=1),90,0,0,169,271,440,2814333097
0.9,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.9,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.9,0.25,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.9,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.9,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.9,0.5,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.9,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",50,8,0,161,271,440,772863516
0.9,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",75,0,0,169,271,440,2814333097
0.9,0.75,"cut∈(0,1) (retrieval iff W3=0; computation iff W3=1)",90,0,0,169,271,440,2814333097
0.9,1.0,cut=1 (computation impossible; retrieval iff W3=0),50,8,0,161,271,440,772863516
0.9,1.0,cut=1 (computation impossible; retrieval iff W3=0),75,0,0,169,271,440,2814333097
0.9,1.0,cut=1 (computation impossible; retrieval iff W3=0),90,0,0,169,271,440,2814333097
